id,sn,phase,z,MB,x0,x1,c,path,hubble_resid
SN12345_01,SN12345,-1.86,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_01.txt,-0.56
SN12345_02,SN12345,0.007,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_02.txt,-0.56
SN12345_03,SN12345,2.74,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_03.txt,-0.56
SN12345_04,SN12345,4.54,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_04.txt,-0.56
SN12345_05,SN12345,11.83,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_05.txt,-0.56
SN12345_06,SN12345,13.60,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_06.txt,-0.56
SN12345_07,SN12345,18.26,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_07.txt,-0.56
SN12345_08,SN12345,18.28,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_08.txt,-0.56
SN12345_09,SN12345,21.033,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_09.txt,-0.56
SN12345_10,SN12345,22.77,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_10.txt,-0.56
SN12345_11,SN12345,31.88,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_11.txt,-0.56
SN12345_12,SN12345,36.42,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_12.txt,-0.56
SN12345_13,SN12345,44.67,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12345_13.txt,-0.56
SN12346_01,SN12346,-1.86,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_01.txt,-0.56
SN12346_02,SN12346,0.007,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_02.txt,-0.56
SN12346_03,SN12346,2.74,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_03.txt,-0.56
SN12346_04,SN12346,4.54,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_04.txt,-0.56
SN12346_05,SN12346,11.83,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_05.txt,-0.56
SN12346_06,SN12346,13.60,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_06.txt,-0.56
SN12346_07,SN12346,18.26,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_07.txt,-0.56
SN12346_08,SN12346,18.28,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_08.txt,-0.56
SN12346_09,SN12346,21.033,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_09.txt,-0.56
SN12346_10,SN12346,22.77,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_10.txt,-0.56
SN12346_11,SN12346,31.88,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_11.txt,-0.56
SN12346_12,SN12346,36.42,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_12.txt,-0.56
SN12346_13,SN12346,44.67,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12346_13.txt,-0.56
SN12347_01,SN12347,-1.86,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_01.txt,-0.56
SN12347_02,SN12347,0.007,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_02.txt,-0.56
SN12347_03,SN12347,2.74,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_03.txt,-0.56
SN12347_04,SN12347,4.54,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_04.txt,-0.56
SN12347_05,SN12347,11.83,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_05.txt,-0.56
SN12347_06,SN12347,13.60,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_06.txt,-0.56
SN12347_07,SN12347,18.26,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_07.txt,-0.56
SN12347_08,SN12347,18.28,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_08.txt,-0.56
SN12347_09,SN12347,21.033,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_09.txt,-0.56
SN12347_10,SN12347,22.77,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_10.txt,-0.56
SN12347_11,SN12347,31.88,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_11.txt,-0.56
SN12347_12,SN12347,36.42,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_12.txt,-0.56
SN12347_13,SN12347,44.67,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12347_13.txt,-0.56
SN12348_01,SN12348,-1.86,0.095,18.63,0.00064,0.46,-0.14,spectra/SN12348_01.txt,-0.56
